catalog_id,cliente,periodo,tipo_documento,formato,drive_source_link,suggested_drive_folder,suggested_filename,expected_drive_path,processing_status,notes
28,Apem,Oct 2025,EF - Apalancamiento,PDF,https://drive.google.com/file/d/10cbxbJ7uA_mm4WaD7q2gXPUxEACYbRlc/view,EEFF_Covenants_Source/Apem,0028_Apem_Oct_2025_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0028_Apem_Oct_2025_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
29,Apem,Sep 2023,EF - Apalancamiento,PDF,https://drive.google.com/file/d/1aavLyU6gecHp3aET_g-ayDT2baw4Eb2U/view,EEFF_Covenants_Source/Apem,0029_Apem_Sep_2023_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0029_Apem_Sep_2023_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
30,Apem,Sep 2024,EF - Apalancamiento,PDF,https://drive.google.com/file/d/1LM3aBkPUo6W0B4Zr8C9kug1E2defDUeQ/view,EEFF_Covenants_Source/Apem,0030_Apem_Sep_2024_EF_Apalancamiento.pdf,EEFF_Covenants_Source/Apem/0030_Apem_Sep_2024_EF_Apalancamiento.pdf,pending_file_in_drive_folder,
31,Apem,Sep 2025,EEFF,PDF,https://drive.google.com/file/d/1FO0-v1v_EcAswpSmNm-2JoUISzSJVHQ5/view,EEFF_Covenants_Source/Apem,0031_Apem_Sep_2025_EEFF.pdf,EEFF_Covenants_Source/Apem/0031_Apem_Sep_2025_EEFF.pdf,pending_file_in_drive_folder,
32,Arrendadora Anisal,Dic 2024,Estado de Resultados,PDF,https://drive.google.com/file/d/11AziiNi1iafvRMIPGf76gVaxkUdi4fnN/view,EEFF_Covenants_Source/Arrendadora_Anisal,0032_Arrendadora_Anisal_Dic_2024_Estado_de_Resultados.pdf,EEFF_Covenants_Source/Arrendadora_Anisal/0032_Arrendadora_Anisal_Dic_2024_Estado_de_Resultados.pdf,pending_file_in_drive_folder,
33,Arrendadora Anisal,Feb 2025,Estado de Resultados,PDF,https://drive.google.com/file/d/1SLAbovOM4AipwkMrCVKYwB4o40pUYRG8/view,EEFF_Covenants_Source/Arrendadora_Anisal,0033_Arrendadora_Anisal_Feb_2025_Estado_de_Resultados.pdf,EEFF_Covenants_Source/Arrendadora_Anisal/0033_Arrendadora_Anisal_Feb_2025_Estado_de_Resultados.pdf,pending_file_in_drive_folder,
34,Astro Capital,2023,Estados Financieros SAT,XLSX,https://drive.google.com/file/d/1sbQIU2J5t5cXK3CeecRk3ca5o9u6idpV/view,EEFF_Covenants_Source/Astro_Capital,0034_Astro_Capital_2023_Estados_Financieros_SAT.xlsx,EEFF_Covenants_Source/Astro_Capital/0034_Astro_Capital_2023_Estados_Financieros_SAT.xlsx,pending_file_in_drive_folder,
35,Astro Capital,2024,Estados Financieros SAT,XLSX,https://drive.google.com/file/d/1d2Q7mYZiK5hnBB_xtK-IqLS7l1gg9piy/view,EEFF_Covenants_Source/Astro_Capital,0035_Astro_Capital_2024_Estados_Financieros_SAT.xlsx,EEFF_Covenants_Source/Astro_Capital/0035_Astro_Capital_2024_Estados_Financieros_SAT.xlsx,pending_file_in_drive_folder,
36,Aviva Holdings,Dic 2024,Estado de Resultados,PDF,https://drive.google.com/file/d/128nVptRbHJ0o7UDIPuwJFMAf54vTE_Gj/view,EEFF_Covenants_Source/Aviva_Holdings,0036_Aviva_Holdings_Dic_2024_Estado_de_Resultados.pdf,EEFF_Covenants_Source/Aviva_Holdings/0036_Aviva_Holdings_Dic_2024_Estado_de_Resultados.pdf,pending_file_in_drive_folder,
37,Aviva Holdings,Jul 2024,Balance Sheet,PDF,https://drive.google.com/file/d/1x-KX0cbutUaCX-Lcebvkmli6wH15CZ2N/view,EEFF_Covenants_Source/Aviva_Holdings,0037_Aviva_Holdings_Jul_2024_Balance_Sheet.pdf,EEFF_Covenants_Source/Aviva_Holdings/0037_Aviva_Holdings_Jul_2024_Balance_Sheet.pdf,pending_file_in_drive_folder,
38,Aviva Holdings,Jun 2025,Estado de Resultados,PDF,https://drive.google.com/file/d/1VMwZDRUPlUL7E3uxBKYild685Ram3Avw/view,EEFF_Covenants_Source/Aviva_Holdings,0038_Aviva_Holdings_Jun_2025_Estado_de_Resultados.pdf,EEFF_Covenants_Source/Aviva_Holdings/0038_Aviva_Holdings_Jun_2025_Estado_de_Resultados.pdf,pending_file_in_drive_folder,
39,Aviva Holdings,Mar 2024,Balance Sheet,PDF,https://drive.google.com/file/d/1m-J-k5-Qzyjk7DFwvcLSZc6rfUO_TBP0/view,EEFF_Covenants_Source/Aviva_Holdings,0039_Aviva_Holdings_Mar_2024_Balance_Sheet.pdf,EEFF_Covenants_Source/Aviva_Holdings/0039_Aviva_Holdings_Mar_2024_Balance_Sheet.pdf,pending_file_in_drive_folder,
40,Aviva Labs,Ene 2025,Estado de Resultados,PDF,https://drive.google.com/file/d/1_InYtAK0ELRNbcQNmHaNENjtWH63s7N1/view,EEFF_Covenants_Source/Aviva_Labs,0040_Aviva_Labs_Ene_2025_Estado_de_Resultados.pdf,EEFF_Covenants_Source/Aviva_Labs/0040_Aviva_Labs_Ene_2025_Estado_de_Resultados.pdf,pending_file_in_drive_folder,
41,Aviva SOFOM,Dic 2024,Estado de Resultados,PDF,https://drive.google.com/file/d/1dq2XaUX5WHocfnZPHbXai1RqboVEnUJ7/view,EEFF_Covenants_Source/Aviva_SOFOM,0041_Aviva_SOFOM_Dic_2024_Estado_de_Resultados.pdf,EEFF_Covenants_Source/Aviva_SOFOM/0041_Aviva_SOFOM_Dic_2024_Estado_de_Resultados.pdf,pending_file_in_drive_folder,
42,Aviva SOFOM,Ene 2025,Estado de Resultados,PDF,https://drive.google.com/file/d/1uYvr4TjrwaL5PGH4FVbLFUYvQQdHZVXj/view,EEFF_Covenants_Source/Aviva_SOFOM,0042_Aviva_SOFOM_Ene_2025_Estado_de_Resultados.pdf,EEFF_Covenants_Source/Aviva_SOFOM/0042_Aviva_SOFOM_Ene_2025_Estado_de_Resultados.pdf,pending_file_in_drive_folder,
43,Aviva SOFOM,Sep 2024,Balance General Consolidado,PDF,https://drive.google.com/file/d/1oIWTw7Zn6Ai31KEf4FTURSAA4Y83CFYz/view,EEFF_Covenants_Source/Aviva_SOFOM,0043_Aviva_SOFOM_Sep_2024_Balance_General_Consolidado.pdf,EEFF_Covenants_Source/Aviva_SOFOM/0043_Aviva_SOFOM_Sep_2024_Balance_General_Consolidado.pdf,pending_file_in_drive_folder,
44,Aviva SOFOM,Sep 2024,Balance General,PDF,https://drive.google.com/file/d/1NprjVjVLQuMzsDItyoWLrUI9AtyE6ph-/view,EEFF_Covenants_Source/Aviva_SOFOM,0044_Aviva_SOFOM_Sep_2024_Balance_General.pdf,EEFF_Covenants_Source/Aviva_SOFOM/0044_Aviva_SOFOM_Sep_2024_Balance_General.pdf,pending_file_in_drive_folder,
45,Capital X,2023,Estados Financieros SAT,XLSX,https://drive.google.com/file/d/16ZoeIOyZK5y3v-iOMPYXAf39fNMxhgTP/view,EEFF_Covenants_Source/Capital_X,0045_Capital_X_2023_Estados_Financieros_SAT.xlsx,EEFF_Covenants_Source/Capital_X/0045_Capital_X_2023_Estados_Financieros_SAT.xlsx,pending_file_in_drive_folder,
